timestep,run,state,alpha,k
1900427,3,0.9179010102541308,2,0
1900428,3,0.9249998989397724,2,0
1900429,3,0.96157922925275785,2,0
1900430,3,0.89770815982605,2,0
1900431,3,0.8678411530020701,2,0
1900432,3,0.9149559655417656,2,0
1900433,3,0.9025439122080032,2,0
1900434,3,0.8910108365556908,2,0
1900435,3,0.8777530263304214,2,0
1900436,3,0.8543025757490601,2,0
1900437,3,0.8888167845790567,2,0
1900438,3,0.9403820800267148,2,0
1900439,3,0.9514480959419008,2,0
1900440,3,0.9283647247148888,2,0
1900441,3,0.9017968367899964,2,0
1900442,3,0.9048179047438824,2,0
1900443,3,0.9730224548944284,2,0
1900444,3,0.9708086109380688,2,0
1900445,3,0.963314563910576,2,0
1900446,3,0.9788234841766698,2,0
1900447,3,0.9848441224367795,2,0
1900448,3,1.025464340190739,2,0
1900449,3,1.0148127702575596,2,0
1900450,3,1.0243848491742025,2,0
1900451,3,1.0280940758042718,2,0
1900452,3,1.1020544404877273,2,0
1900453,3,1.1157505889593289,2,0
1900454,3,1.149236433764463,2,0
1900455,3,1.1828898472120015,2,0
1900456,3,1.1836316552504051,2,0
1900457,3,1.1570077154242326,2,0
1900458,3,1.2165330700063812,2,0
1900459,3,1.2035188665839822,2,0
1900460,3,1.2090934674213831,2,0
1900461,3,1.2100188544612689,2,0
1900462,3,1.2066680723057122,2,0
1900463,3,1.2051313677110542,2,0
1900464,3,1.1938219493419655,2,0
1900465,3,1.2080809585358083,2,0
1900466,3,1.1659253569411288,2,0
1900467,3,1.093819233373019,2,0
1900468,3,1.055004575946573,2,0
1900469,3,1.1163788066988385,2,0
1900470,3,1.1316686980932429,2,0
1900471,3,1.1053343124535062,2,0
1900472,3,1.103629787889049,2,0
1900473,3,1.149259578797502,2,0
1900474,3,1.1408766604778386,2,0
1900475,3,1.147797148621862,2,0
1900476,3,1.1589607701358156,2,0
1900477,3,1.157848779197335,2,0
1900478,3,1.1429914597331745,2,0
1900479,3,1.1340662553368248,2,0
1900480,3,1.170233139449148,2,0
1900481,3,1.1304297823086158,2,0
1900482,3,1.15237079903601,2,0
1900483,3,1.1192816571735142,2,0
1900484,3,1.1712368040855712,2,0
1900485,3,1.2129584882025617,2,0
1900486,3,1.1974491359098638,2,0
1900487,3,1.158136656798158,2,0
1900488,3,1.136323050461978,2,0
1900489,3,1.1349965374508704,2,0
1900490,3,1.1623217115528337,2,0
1900491,3,1.1819180889128156,2,0
1900492,3,1.195618758098935,2,0
1900493,3,1.1664736876619026,2,0
1900494,3,1.0842005263938668,2,0
1900495,3,1.093045920844524,2,0
1900496,3,1.069197303077725,2,0
1900497,3,1.0290141830320072,2,0
1900498,3,1.0317583364486025,2,0
1900499,3,0.9920513666801878,2,0
1900500,3,1.032117729800298,2,0
1900501,3,1.0678801864517922,2,0
1900502,3,1.0563908069667274,2,0
1900503,3,1.0098590411124395,2,0
1900504,3,1.005890597359597,2,0
1900505,3,0.9869574943312528,2,0
1900506,3,0.9829145164346296,2,0
1900507,3,0.980379490832656,2,0
1900508,3,0.991511936426422,2,0
1900509,3,1.0205081042760105,2,0
1900510,3,0.981490193546934,2,0
1900511,3,0.9541098627399792,2,0
1900512,3,0.9995765482036316,2,0
1900513,3,1.0165416193098733,2,0
1900514,3,0.9386683218536186,2,0
1900515,3,0.963953245007067,2,0
1900516,3,0.9357468867600228,2,0
1900517,3,0.954201441998138,2,0
1900518,3,0.9208852029062604,2,0
1900519,3,0.9068041445974632,2,0
1900520,3,0.9431464673617372,2,0
1900521,3,0.926443079109176,2,0
1900522,3,0.8919618510111126,2,0
