Year,Lon,Lat,PID,PFT,age,cmass,ndist,relative
2048,-149.25,64.75,1,Pioneering broadleaf,164,6.94,1,0.6540999057492932
2049,-149.25,64.75,1,Needleleaf evergreen,165,1.46,1,0.13594040968342644
2049,-149.25,64.75,1,Pioneering broadleaf,165,7.01,1,0.6527001862197392
2050,-149.25,64.75,1,Needleleaf evergreen,166,1.52,1,0.15109343936381708
2050,-149.25,64.75,1,Pioneering broadleaf,166,6.2,1,0.6163021868787276
2051,-149.25,64.75,1,Needleleaf evergreen,167,1.57,1,0.1533203125
2051,-149.25,64.75,1,Pioneering broadleaf,167,6.27,1,0.6123046875
2052,-149.25,64.75,1,Needleleaf evergreen,168,1.56,1,0.15057915057915058
2052,-149.25,64.75,1,Pioneering broadleaf,168,6.34,1,0.611969111969112
2053,-149.25,64.75,1,Needleleaf evergreen,169,1.62,1,0.15355450236966825
2053,-149.25,64.75,1,Pioneering broadleaf,169,6.41,1,0.6075829383886255
2054,-149.25,64.75,1,Needleleaf evergreen,170,1.67,1,0.15651358950328023
2054,-149.25,64.75,1,Pioneering broadleaf,170,6.49,1,0.6082474226804124
2055,-149.25,64.75,1,Needleleaf evergreen,171,1.66,1,0.1548507462686567
2055,-149.25,64.75,1,Pioneering broadleaf,171,6.54,1,0.6100746268656716
2056,-149.25,64.75,1,Needleleaf evergreen,172,1.67,1,0.15420129270544783
2056,-149.25,64.75,1,Pioneering broadleaf,172,6.61,1,0.6103416435826409
2057,-149.25,64.75,1,Needleleaf evergreen,173,1.73,1,0.156844968268359
2057,-149.25,64.75,1,Pioneering broadleaf,173,6.69,1,0.6065276518585675
2058,-149.25,64.75,1,Needleleaf evergreen,174,1.75,1,0.1714005876591577
2058,-149.25,64.75,1,Pioneering broadleaf,174,5.8,1,0.5680705190989227
2059,-149.25,64.75,1,Needleleaf evergreen,175,1.73,1,0.16779825412221144
2059,-149.25,64.75,1,Pioneering broadleaf,175,5.87,1,0.5693501454898157
2060,-149.25,64.75,1,Needleleaf evergreen,176,1.75,1,0.16778523489932887
2060,-149.25,64.75,1,Pioneering broadleaf,176,5.93,1,0.5685522531160115
2061,-149.25,64.75,1,Needleleaf evergreen,177,1.8,1,0.169811320754717
2061,-149.25,64.75,1,Pioneering broadleaf,177,6.01,1,0.5669811320754717
2062,-149.25,64.75,1,Needleleaf evergreen,178,1.81,1,0.1693171188026193
2062,-149.25,64.75,1,Pioneering broadleaf,178,6.06,1,0.5668849391955099
2063,-149.25,64.75,1,Needleleaf evergreen,179,1.89,1,0.1907164480322906
2063,-149.25,64.75,1,Pioneering broadleaf,179,5.12,1,0.5166498486377397
2064,-149.25,64.75,1,Needleleaf evergreen,180,1.92,1,0.21357063403781978
2064,-149.25,64.75,1,Pioneering broadleaf,180,4.14,1,0.4605116796440489
2065,-149.25,64.75,1,Needleleaf evergreen,181,1.97,1,0.2148309705561614
2065,-149.25,64.75,1,Pioneering broadleaf,181,4.2,1,0.45801526717557256
2066,-149.25,64.75,1,Needleleaf evergreen,182,2.02,1,0.21837837837837837
2066,-149.25,64.75,1,Pioneering broadleaf,182,4.26,1,0.4605405405405405
2067,-149.25,64.75,1,Needleleaf evergreen,183,2.07,1,0.21974522292993628
2067,-149.25,64.75,1,Pioneering broadleaf,183,4.32,1,0.4585987261146497
2068,-149.25,64.75,1,Needleleaf evergreen,184,2.09,1,0.2193074501573977
2068,-149.25,64.75,1,Pioneering broadleaf,184,4.37,1,0.4585519412381952
2069,-149.25,64.75,1,Needleleaf evergreen,185,2.15,1,0.22073921971252566
2069,-149.25,64.75,1,Pioneering broadleaf,185,4.44,1,0.4558521560574949
2070,-149.25,64.75,1,Needleleaf evergreen,186,2.18,1,0.22064777327935223
2070,-149.25,64.75,1,Pioneering broadleaf,186,4.5,1,0.4554655870445344
2071,-149.25,64.75,1,Needleleaf evergreen,187,2.23,1,0.22233300099700898
2071,-149.25,64.75,1,Pioneering broadleaf,187,4.55,1,0.4536390827517448
2072,-149.25,64.75,1,Needleleaf evergreen,188,2.27,1,0.22276741903827282
2072,-149.25,64.75,1,Pioneering broadleaf,188,4.61,1,0.45240431795878316
2073,-149.25,64.75,1,Needleleaf evergreen,189,2.35,1,0.22574447646493756
2073,-149.25,64.75,1,Pioneering broadleaf,189,4.68,1,0.44956772334293943
2074,-149.25,64.75,1,Needleleaf evergreen,190,2.4,1,0.2555910543130991
2074,-149.25,64.75,1,Pioneering broadleaf,190,3.55,1,0.3780617678381257
2075,-149.25,64.75,1,Needleleaf evergreen,191,2.47,1,0.2575599582898853
2075,-149.25,64.75,1,Pioneering broadleaf,191,3.61,1,0.37643378519290926
2076,-149.25,64.75,1,Needleleaf evergreen,192,2.53,1,0.25842696629213485
2076,-149.25,64.75,1,Pioneering broadleaf,192,3.67,1,0.37487231869254345
2077,-149.25,64.75,1,Needleleaf evergreen,193,2.56,1,0.2606924643584521
2077,-149.25,64.75,1,Pioneering broadleaf,193,3.72,1,0.3788187372708758
2078,-149.25,64.75,1,Needleleaf evergreen,194,2.57,1,0.25959595959595955
2078,-149.25,64.75,1,Pioneering broadleaf,194,3.76,1,0.37979797979797975
2079,-149.25,64.75,1,Needleleaf evergreen,195,2.51,1,0.2891705069124424
2079,-149.25,64.75,1,Pioneering broadleaf,195,2.54,1,0.2926267281105991
2080,-149.25,64.75,1,Needleleaf evergreen,196,2.59,1,0.2910112359550561
2080,-149.25,64.75,1,Pioneering broadleaf,196,2.59,1,0.2910112359550561
2081,-149.25,64.75,1,Needleleaf evergreen,197,2.7,1,0.30303030303030304
2081,-149.25,64.75,1,Pioneering broadleaf,197,2.63,1,0.2951739618406285
2082,-149.25,64.75,1,Needleleaf evergreen,198,2.61,1,0.2932584269662921
2082,-149.25,64.75,1,Pioneering broadleaf,198,2.67,1,0.3
2083,-149.25,64.75,1,Needleleaf evergreen,199,2.61,1,0.29491525423728815
2083,-149.25,64.75,1,Pioneering broadleaf,199,2.71,1,0.30621468926553674
2084,-149.25,64.75,1,Needleleaf evergreen,200,2.5,1,0.3401360544217687
2084,-149.25,64.75,1,Pioneering broadleaf,200,1.38,1,0.18775510204081633
2085,-149.25,64.75,1,Needleleaf evergreen,201,2.54,1,0.41914191419141916
2085,-149.25,64.75,1,Pioneering broadleaf,201,0,1,0
2086,-149.25,64.75,1,Needleleaf evergreen,202,2.45,1,0.40697674418604657
2086,-149.25,64.75,1,Pioneering broadleaf,202,0,1,0
2087,-149.25,64.75,1,Needleleaf evergreen,203,2.52,1,0.4186046511627907
2087,-149.25,64.75,1,Pioneering broadleaf,203,0,1,0
2088,-149.25,64.75,1,Needleleaf evergreen,204,2.59,1,0.42045454545454547
2088,-149.25,64.75,1,Pioneering broadleaf,204,0,1,0
2089,-149.25,64.75,1,Needleleaf evergreen,205,2.69,1,0.4236220472440945
2089,-149.25,64.75,1,Pioneering broadleaf,205,0,1,0
2090,-149.25,64.75,1,Needleleaf evergreen,206,2.78,1,0.43573667711598746
2090,-149.25,64.75,1,Pioneering broadleaf,206,0,1,0
2091,-149.25,64.75,1,Needleleaf evergreen,207,2.83,1,0.43605546995377503
2091,-149.25,64.75,1,Pioneering broadleaf,207,0,1,0
2092,-149.25,64.75,1,Needleleaf evergreen,208,2.89,1,0.4358974358974359
2092,-149.25,64.75,1,Pioneering broadleaf,208,0,1,0
2093,-149.25,64.75,1,Needleleaf evergreen,209,2.98,1,0.43823529411764706
2093,-149.25,64.75,1,Pioneering broadleaf,209,0,1,0
2094,-149.25,64.75,1,Needleleaf evergreen,210,3.05,1,0.4401154401154401
2094,-149.25,64.75,1,Pioneering broadleaf,210,0,1,0
2095,-149.25,64.75,1,Needleleaf evergreen,211,3.13,1,0.46165191740412975
2095,-149.25,64.75,1,Pioneering broadleaf,211,0,1,0
2096,-149.25,64.75,1,Needleleaf evergreen,212,3.1,1,0.46337817638266066
2096,-149.25,64.75,1,Pioneering broadleaf,212,0,1,0
2097,-149.25,64.75,1,Needleleaf evergreen,213,3.17,1,0.46412884333821375
2097,-149.25,64.75,1,Pioneering broadleaf,213,0,1,0
2098,-149.25,64.75,1,Needleleaf evergreen,214,3.29,1,0.46799431009957326
2098,-149.25,64.75,1,Pioneering broadleaf,214,0,1,0
2099,-149.25,64.75,1,Needleleaf evergreen,215,3.37,1,0.46935933147632314
2099,-149.25,64.75,1,Pioneering broadleaf,215,0,1,0
2100,-149.25,64.75,1,Needleleaf evergreen,216,3.43,1,0.46986301369863015
2100,-149.25,64.75,1,Pioneering broadleaf,216,0,1,0
2101,-149.25,64.75,1,Needleleaf evergreen,217,3.48,1,0.4813278008298755
