Lon,Lat,Year,TG,PID,PFT,age,cmass,ndist,ecoregion,relative
-126.25,64.75,2096,275.9484558105469,11,BNE,1060,6.09,0,TAIGA CORDILLERA,1
-126.25,64.75,2096,275.9484558105469,12,BNE,188,3.38,1,TAIGA CORDILLERA,0.26242236024844723
-126.25,64.75,2096,275.9484558105469,13,BNE,46,0.15,2,TAIGA CORDILLERA,0.024
-126.25,64.75,2096,275.9484558105469,14,BNE,125,1.59,1,TAIGA CORDILLERA,0.12363919129082428
-126.25,64.75,2096,275.9484558105469,15,BNE,114,0.97,1,TAIGA CORDILLERA,0.09519136408243375
-126.25,64.75,2096,275.9484558105469,16,BNE,127,1.06,1,TAIGA CORDILLERA,0.09090909090909091
-126.25,64.75,2096,275.9484558105469,17,BNE,16,0.26,2,TAIGA CORDILLERA,0.125
-126.25,64.75,2096,275.9484558105469,18,BNE,123,1.55,1,TAIGA CORDILLERA,0.11593118922961856
-126.25,64.75,2096,275.9484558105469,19,BNE,218,9.55,1,TAIGA CORDILLERA,1
-126.25,64.75,2096,275.9484558105469,20,BNE,294,6.41,1,TAIGA CORDILLERA,1
-126.25,64.75,2096,275.9484558105469,21,BNE,9,0.09,2,TAIGA CORDILLERA,0.08823529411764705
-126.25,64.75,2096,275.9484558105469,22,BNE,293,7.13,1,TAIGA CORDILLERA,0.9727148703956343
-126.25,64.75,2096,275.9484558105469,23,BNE,25,0.44,2,TAIGA CORDILLERA,0.13664596273291924
-126.25,64.75,2096,275.9484558105469,24,BNE,8,0.07,1,TAIGA CORDILLERA,0.07692307692307693
-126.25,64.75,2097,274.780029296875,0,BNE,105,0.81,3,TAIGA CORDILLERA,0.06443914081145585
-126.25,64.75,2097,274.780029296875,1,BNE,1147,7.07,0,TAIGA CORDILLERA,1
-126.25,64.75,2097,274.780029296875,2,BNE,115,0.77,1,TAIGA CORDILLERA,0.06374172185430464
-126.25,64.75,2097,274.780029296875,3,BNE,1147,6.16,0,TAIGA CORDILLERA,0.9983792544570502
-126.25,64.75,2097,274.780029296875,4,BNE,200,5.51,1,TAIGA CORDILLERA,0.453125
-126.25,64.75,2097,274.780029296875,5,BNE,210,2.61,1,TAIGA CORDILLERA,0.1876347951114306
-126.25,64.75,2097,274.780029296875,6,BNE,1147,6.75,0,TAIGA CORDILLERA,0.9985207100591716
-126.25,64.75,2097,274.780029296875,7,BNE,505,6.95,0,TAIGA CORDILLERA,0.9858156028368795
-126.25,64.75,2097,274.780029296875,8,BNE,307,7.58,0,TAIGA CORDILLERA,0.9582806573957017
-126.25,64.75,2097,274.780029296875,9,BNE,216,7.2,1,TAIGA CORDILLERA,0.8944099378881987
-126.25,64.75,2097,274.780029296875,10,BNE,705,10.11,0,TAIGA CORDILLERA,0.9931237721021611
-126.25,64.75,2097,274.780029296875,11,BNE,1061,6.21,0,TAIGA CORDILLERA,1
-126.25,64.75,2097,274.780029296875,12,BNE,189,3.43,1,TAIGA CORDILLERA,0.2632386799693016
-126.25,64.75,2097,274.780029296875,13,BNE,47,0.15,2,TAIGA CORDILLERA,0.023076923076923075
-126.25,64.75,2097,274.780029296875,14,BNE,126,1.62,1,TAIGA CORDILLERA,0.12538699690402477
-126.25,64.75,2097,274.780029296875,15,BNE,115,0.98,1,TAIGA CORDILLERA,0.09432146294513957
-126.25,64.75,2097,274.780029296875,16,BNE,128,1.09,1,TAIGA CORDILLERA,0.09714795008912656
-126.25,64.75,2097,274.780029296875,17,BNE,17,0.28,2,TAIGA CORDILLERA,0.1201716738197425
-126.25,64.75,2097,274.780029296875,18,BNE,124,1.56,1,TAIGA CORDILLERA,0.12159002338269681
-126.25,64.75,2097,274.780029296875,19,BNE,219,9.6,1,TAIGA CORDILLERA,1
-126.25,64.75,2097,274.780029296875,20,BNE,295,6.54,1,TAIGA CORDILLERA,1
-126.25,64.75,2097,274.780029296875,21,BNE,10,0.12,2,TAIGA CORDILLERA,0.10344827586206895
-126.25,64.75,2097,274.780029296875,22,BNE,294,7.25,1,TAIGA CORDILLERA,0.9718498659517426
-126.25,64.75,2097,274.780029296875,23,BNE,26,0.44,2,TAIGA CORDILLERA,0.13056379821958455
-126.25,64.75,2097,274.780029296875,24,BNE,9,0.09,1,TAIGA CORDILLERA,0.08823529411764705
